Garéida Sot;766c;Mesocco
strada de Bréta;1;Mesocco
strada de Téc mèzz;4;Mesocco
Rof;890;Mesocco
Gésc;714a;Mesocco
strada del Pian;18;Mesocco
Rof;890b;Mesocco
Cascléi;625;Mesocco
strada del Pian;52;Mesocco
scima Spina;5;Mesocco
Pescedàl;773;Mesocco
Pescedàl;717;Mesocco
Al Barec;753;Mesocco
Al Barec;775a;Mesocco
Ranghéi;711a;Mesocco
Viganaia;900;Mesocco
strada de Téc mèzz;23;Mesocco
strada de Téc mèzz;21;Mesocco
strada de Bréta;21;Mesocco
strada de Bréta;19;Mesocco
strada de Bréta;17;Mesocco
strada de Ghifa;23;Mesocco
strada de Ghifa;25;Mesocco
strada de Ghifa;21;Mesocco
strada de Ghifa;27;Mesocco
Còzz de fòra;18;Mesocco
strada de San Ròch;15a;Mesocco
strada de Ghifa;14;Mesocco
Pian San Giacomo;686;Mesocco
Còzz de fòra;14;Mesocco
Còzz de fòra;12;Mesocco
strécia de Criméi;2;Mesocco
strada de Curciana;10;Mesocco
strada de Cumpréid;1;Mesocco
strada de la Lavina;29;Mesocco
strada de Russéira;12;Mesocco
Turgegn;771a;Mesocco
Còzz de fòra;23;Mesocco
strada de Ranghéla;6;Mesocco
strada de Darba rodónda;22;Mesocco
strada de Cumpréid;3;Mesocco
strada de Cèbia;34;Mesocco
strada de Darba;2;Mesocco
Andràna;720;Mesocco
Stradón;30;Mesocco
strada de Déira;13;Mesocco
strada de Ghifa;101;Mesocco
Còzz de dént;20;Mesocco
strada de Calcá;8;Mesocco
strada de Spina;104;Mesocco
strada de Spina;102;Mesocco
strada de Spina;106;Mesocco
scima Spina;9;Mesocco
strada de Ghifa;71;Mesocco
strada de Déira;14;Mesocco
strada de Déira;16;Mesocco
strada de Ghifa;50;Mesocco
Còzz de fòra;8;Mesocco
Gésc;723b;Mesocco
strada de Spina;108;Mesocco
strada de Spina;36;Mesocco
strada de Lusgián;20;Mesocco
strada de Spina;10;Mesocco
strada de Spina;91;Mesocco
Còzz de fòra;17;Mesocco
strada d'Andèrgi;12;Mesocco
Stradón;46a;Mesocco
strada Néva;2a;Mesocco
Salvanéi;718a;Mesocco
Salvanéi;718c;Mesocco
Salvanéi;718b;Mesocco
strada de Cèbia;28;Mesocco
strada de Déira;46;Mesocco
a la Bróna de Darba;10;Mesocco
strada de Téc mèzz;25;Mesocco
strada de Ghifa;69;Mesocco
strada de Ghifa;73;Mesocco
strada de Ghifa;44;Mesocco
Scimavila;18;Mesocco
strada de Ghifa;89;Mesocco
strada de Benábia;8;Mesocco
strada del Pian;54;Mesocco
strada del Pian;50;Mesocco
strada de Nuséit;3;Mesocco
strada de Nuséit;4;Mesocco
strada de Spina;44;Mesocco
Còzz de fòra;22;Mesocco
Còzz de fòra;20;Mesocco
Gesc;890c;Mesocco
strada de Spina;16;Mesocco
strada de Spina;45;Mesocco
strada de Ghifa;47;Mesocco
Malòda;872d;Mesocco
strada d'Andèrgi;8;Mesocco
strada de Gèi;8;Mesocco
Ospizio di San Bernardino;46;Mesocco
Usénich;734;Mesocco
Andràna;880a;Mesocco
Andràna;880b;Mesocco
Andràna;880d;Mesocco
Andràna;880c;Mesocco
Andràna;880;Mesocco
Falghéi;742;Mesocco
Brésc;691;Mesocco
strada Néva;6;Mesocco
strada de Déira;18;Mesocco
Fondvila;14;Mesocco
Stradón;31;Mesocco
Stradón;27a;Mesocco
strada de la Stalàn;10;Mesocco
strada de la Stazión;4;Mesocco
strada de Calcá;14;Mesocco
Stradón;44;Mesocco
Stradón;113;Mesocco
Stradón;1;Mesocco
strada del Purlinghéni;14;Mesocco
Stradón;11a;Mesocco
Stradón;10;Mesocco
Stradón;14;Mesocco
strada de Calcá;5;Mesocco
Stradón;28;Mesocco
strada de la Stazión;12;Mesocco
Nanín;921;Mesocco
Stradón;42;Mesocco
strada Néva;12;Mesocco
strada de Cèbia;1;Mesocco
Benabbia;966;Mesocco
strada de Benábia;21;Mesocco
strada de Cèbia;5;Mesocco
strada del Pian;5a;Mesocco
Crimeo;;Mesocco
Spina;;Mesocco
strada de Gèi;17;Mesocco
strada Néva;8;Mesocco
strada de Spina;95;Mesocco
strada de Darba;17;Mesocco
strada de la Lavina;27;Mesocco
strada de Gèi;6;Mesocco
strada de la Géisa;40;Mesocco
strada de Spina;93;Mesocco
strada de Spina;85;Mesocco
Stradón;56;Mesocco
strada de Bréta;9;Mesocco
strada de Darba;30;Mesocco
strada de Buschítt;3;Mesocco
strada d'Andèrgi;1;Mesocco
strada de Spina;15;Mesocco
Stradón;109;Mesocco
Stradón;107;Mesocco
strada de Ghifa;18;Mesocco
strada de Ghifa;20;Mesocco
strada de Ghifa;22;Mesocco
strada de Benábia;16;Mesocco
strada de Spina;83;Mesocco
strada de Darba;7;Mesocco
Ghifa;850;Mesocco
strada de Buschítt;9;Mesocco
Anzon;765c;Mesocco
strada del Pian;72;Mesocco
strada de Cèbia;24;Mesocco
strada d'Andèrgi;30;Mesocco
strada de Darba rodónda;5;Mesocco
Scimavila;8;Mesocco
Stradón;22;Mesocco
Crun;702f;Mesocco
Crimeo;;Mesocco
strada de Ghifa;37;Mesocco
strada de Téc mèzz;29;Mesocco
strada de Ghifa;35;Mesocco
strada de Lusgián;16;Mesocco
strada de Calcá;7;Mesocco
Còzz de fòra;16;Mesocco
Andràna;880e;Mesocco
Crimeo;89a;Mesocco
strada de Spina;99;Mesocco
Stradón;25a;Mesocco
strada de Déira;615;Mesocco
Stradón;99;Mesocco
strada d'Anzón;6;Mesocco
Tec Mez;850d;Mesocco
Cussàn;246e;Mesocco
