Stockenstrasse;27;Algetshausen
Büelwiesstrasse;1;Algetshausen
Büelwiesstrasse;7;Algetshausen
Büelwiesstrasse;25a;Algetshausen
Blumenau;18;Algetshausen
Blumenau;20;Algetshausen
Ölbergstrasse;3;Niederstetten
Blumenau;14;Algetshausen
Büelwiesstrasse;18;Algetshausen
Oberdorfstrasse;3b;Algetshausen
Gartenmoosstrasse;15;Algetshausen
Salenstrasse;25;Niederstetten
Salen;;Niederstetten
Stockenstrasse;11c;Algetshausen
Buechenrain;2310;Oberstetten
Dorfstrasse;25;Algetshausen
Brunnenstrasse;8a;Algetshausen
Dorfstrasse;23;Algetshausen
Hespel;4366;Algetshausen
Käsereiweg;16;Algetshausen
Oklahomastrasse;33b;Oberstetten
Oklahomastrasse;33c;Oberstetten
Sandbüel;4438;Algetshausen
Büelwiesstrasse;14a;Algetshausen
Oklahomastrasse;33;Oberstetten
Scheidweg;6;Niederstetten
Oklahomastrasse;11a;Oberstetten
Oberdorfstrasse;8;Algetshausen
Dorfstrasse;24;Algetshausen
Rütiwes;4315;Algetshausen
Oberstrasse;11;Niederstetten
Oklahomastrasse;31;Oberstetten
Oklahomastrasse;33e;Oberstetten
Salenstrasse;1;Niederstetten
Oklahomastrasse;11b;Oberstetten
Salen;;Niederstetten
Feldstrasse;;Niederstetten
Salenstrasse;14;Niederstetten
Oklahomastrasse;1;Oberstetten
Oberdorfstrasse;5;Algetshausen
Salenstrasse;10;Niederstetten
Oklahomastrasse;3a;Oberstetten
Ölbergstrasse;6;Niederstetten
Oklahomastrasse;33a;Oberstetten
Vorderes Gartenmoos;;Algetshausen
Käsereiweg;14;Algetshausen
Käsereiweg;;Algetshausen
Salenstrasse;;Niederstetten
Käsereiweg;18a;Algetshausen
Käsereiweg;;Algetshausen
Oberstrasse;19;Niederstetten
Oklahomastrasse;25a;Oberstetten
Käsereiweg;;Algetshausen
Käsereiweg;;Algetshausen
Käsereiweg;4;Algetshausen
Oklahomastrasse;10;Oberstetten
Oklahomastrasse;12;Oberstetten
Langmatt;;Oberstetten
Feldstrasse;8;Niederstetten
Blumenau;8b;Algetshausen
Blumenau;8;Algetshausen
Blumenau;6c;Algetshausen
Blumenau;6b;Algetshausen
Blumenau;6a;Algetshausen
Blumenau;6;Algetshausen
Oberdorfstrasse;1a;Algetshausen
Büelwiesstrasse;12a;Algetshausen
Dorfstrasse;13;Algetshausen
Oklahomastrasse;1a;Oberstetten
Oberdorfstrasse;3c;Algetshausen
