Fischbächli;1o;Altbüron;6147
Haldenrain;4;Altbüron;6147
Eihölzli;;Altbüron;6147
Hintergass;29;Altbüron;6147
Obere Weihermatte;5;Altbüron;6147
Obere Weihermatte;7;Altbüron;6147
Sonnenbühl;9;Altbüron;6147
Halden;3;Altbüron;6147
Ausserdorf;18;Altbüron;6147
Haueten;1;Altbüron;6147
Ring;3;Altbüron;6147
Ring;1;Altbüron;6147
Melchnauerstrasse;1;Altbüron;6147
Grünbach;7;Altbüron;6147
Bühl;15;Altbüron;6147
Sonnenbühl;16;Altbüron;6147
Weihermatte;16;Altbüron;6147
Haueten;7;Altbüron;6147
Hauetenmatte;16;Altbüron;6147
Gass;8;Altbüron;6147
Obere Weihermatte;9;Altbüron;6147
Weihermatte;7;Altbüron;6147
Eppenwilerstrasse;11;Altbüron;6147
Ring;5;Altbüron;6147
Feld;3;Altbüron;6147
Bühl;29;Altbüron;6147
Bühl;27;Altbüron;6147
Hiltbrunnen;17;Altbüron;6147
Sonnhalde;;Altbüron;6147
Sonnenbühl;18;Altbüron;6147
Ausserdorf;29;Altbüron;6147
Sonnenbühl;26;Altbüron;6147
Bühl;19;Altbüron;6147
Eppenwilerstrasse;2;Altbüron;6147
Sonnenbühl;20;Altbüron;6147
Dorf;7;Altbüron;6147
Hauetenmatte;12;Altbüron;6147
Kreuzmatte;2;Altbüron;6147
Hauetenmatte;8;Altbüron;6147
Unterdorf;15;Altbüron;6147
Eihölzli;;Altbüron;6147
Unterdorf;15a;Altbüron;6147
Meichten;26;Altbüron;6147
Unterdorf;13a;Altbüron;6147
Talbachmatte;9;Altbüron;6147
Bühl;16;Altbüron;6147
Unterdorf;10;Altbüron;6147
Unterdorf;2;Altbüron;6147
Dorf;9;Altbüron;6147
Linden;11;Altbüron;6147
Linden;10;Altbüron;6147
Dorf;8;Altbüron;6147
Unterdorf;7;Altbüron;6147
Bühl;14;Altbüron;6147
Ausserdorf;27;Altbüron;6147
Blatten;9;Altbüron;6147
Haueten;5;Altbüron;6147
Sonnenbühl;24;Altbüron;6147
Haldenrain;6;Altbüron;6147
